Date,Open,High,Low,Settle,Change,Wave,Volume,Prev. Day Open Interest,EFP Volume,EFS Volume,Block Volume
28/05/2008,3.7577,3.8454,3.7577,3.8243,0.0251,,111,1500,0,0,0
27/05/2008,3.9482,3.9482,3.7985,3.7992,-0.1358,,82,1599,0,0,305
26/05/2008,3.937,3.937,3.937,3.935,0.0694,,4,1596,0,0,0
23/05/2008,3.985,3.9887,3.8604,3.8656,-0.0887,,121,1592,0,0,0
22/05/2008,3.9802,4.0119,3.91,3.9543,0.0459,,598,1619,0,0,0
21/05/2008,3.7902,3.927,3.7798,3.9084,0.1334,,235,1736,0,0,0
20/05/2008,3.6884,3.7823,3.6871,3.775,0.0999,,173,1702,0,0,0
19/05/2008,3.6794,3.7062,3.662,3.6751,-0.0277,,98,1877,0,0,0
16/05/2008,3.6414,3.71,3.6414,3.7028,0.0804,,307,1703,0,0,50
15/05/2008,3.6138,3.6908,3.6009,3.6224,0.0046,,104,1702,0,0,0
14/05/2008,3.7211,3.7211,3.6173,3.6178,-0.0811,,264,1960,0,0,151
13/05/2008,3.5523,3.711,3.5523,3.6989,0.1391,,341,1998,0,0,514
12/05/2008,3.619,3.6393,3.5507,3.5598,-0.0762,,250,2025,0,0,0
09/05/2008,3.5808,3.6367,3.5695,3.636,0.1262,,426,1807,0,0,305
08/05/2008,3.4463,3.5092,3.4463,3.5098,0.0625,,303,1874,0,0,0
07/05/2008,3.3634,3.4535,3.347,3.4473,0.0938,,534,1461,0,0,0
06/05/2008,3.2947,3.37,3.2947,3.3535,0.047,,336,1315,0,0,0
05/05/2008,3.2405,3.3227,3.2133,3.3065,0.0878,,370,1374,0,0,0
02/05/2008,3.1536,3.2169,3.1268,3.2187,0.101,,325,1478,0,0,0
01/05/2008,3.1535,3.156,3.0704,3.1177,-0.0403,,602,1188,0,0,0
30/04/2008,3.2564,3.2665,3.1605,3.158,-0.0751,,251,1126,0,0,0
29/04/2008,3.2825,3.2825,3.2524,3.2465,-0.0523,,45,1245,0,0,0
